fact	theory	base_name	index	serial	source_file	source_line	concealed	group	hypotheses	has_skip_proof
pss_defs.zeroT_def	pss_defs	pss_defs.zeroT_def	0	452450	isabelle/pss_defs.thy	226	false	5070448	0	false
pss_defs.monoT_def	pss_defs	pss_defs.monoT_def	0	452546	isabelle/pss_defs.thy	231	false	5070868	0	false
pss_defs.multiT_def	pss_defs	pss_defs.multiT_def	0	452596	isabelle/pss_defs.thy	236	false	5071264	0	false
pss_defs.ZT_PS_def	pss_defs	pss_defs.ZT_PS_def	0	452656	isabelle/pss_defs.thy	239	false	5071504	0	false
pss_defs.PT_PS_def	pss_defs	pss_defs.PT_PS_def	0	452716	isabelle/pss_defs.thy	240	false	5071862	0	false
pss_defs.MT_PS_def	pss_defs	pss_defs.MT_PS_def	0	452750	isabelle/pss_defs.thy	241	false	5072150	0	false
pss_defs.Pcut_def	pss_defs	pss_defs.Pcut_def	0	452796	isabelle/pss_defs.thy	251	false	5072542	0	false
pss_defs.P_graph.intros	pss_defs	pss_defs.P_graph.intros	0	452930	isabelle/pss_defs.thy	254	true	5073330	0	true
pss_defs.P_graph.cases	pss_defs	pss_defs.P_graph.cases	0	452934	isabelle/pss_defs.thy	254	true	5073330	0	true
pss_defs.P_graph.induct	pss_defs	pss_defs.P_graph.induct	0	452948	isabelle/pss_defs.thy	254	true	5073330	0	true
pss_defs.P_graph.simps	pss_defs	pss_defs.P_graph.simps	0	452956	isabelle/pss_defs.thy	254	true	5073330	0	true
pss_defs.P_graph.inducts	pss_defs	pss_defs.P_graph.inducts	0	452966	isabelle/pss_defs.thy	254	true	5073330	0	true
pss_defs.P_rel.intros	pss_defs	pss_defs.P_rel.intros	0	453042	isabelle/pss_defs.thy	254	true	5073330	0	true
pss_defs.P_rel.cases	pss_defs	pss_defs.P_rel.cases	0	453050	isabelle/pss_defs.thy	254	true	5073330	0	true
pss_defs.P_rel.induct	pss_defs	pss_defs.P_rel.induct	0	453056	isabelle/pss_defs.thy	254	true	5073330	0	true
pss_defs.P_rel.simps	pss_defs	pss_defs.P_rel.simps	0	453062	isabelle/pss_defs.thy	254	true	5073330	0	true
pss_defs.P_rel.inducts	pss_defs	pss_defs.P_rel.inducts	0	453076	isabelle/pss_defs.thy	254	true	5073330	0	true
pss_defs.P.psimps	pss_defs	pss_defs.P.psimps	0	453166	isabelle/pss_defs.thy	254	false	5073330	0	true
pss_defs.P.pinduct	pss_defs	pss_defs.P.pinduct	0	453168	isabelle/pss_defs.thy	254	false	5073330	0	true
pss_defs.P.termination	pss_defs	pss_defs.P.termination	0	453172	isabelle/pss_defs.thy	254	true	5073330	0	true
pss_defs.P.cases	pss_defs	pss_defs.P.cases	0	453176	isabelle/pss_defs.thy	254	false	5073330	0	true
pss_defs.P.pelims	pss_defs	pss_defs.P.pelims	0	453180	isabelle/pss_defs.thy	254	false	5073330	0	true
pss_defs.P.simps	pss_defs	pss_defs.P.simps	0	453206	isabelle/pss_defs.thy	259	false	5077062	0	true
pss_defs.P.induct	pss_defs	pss_defs.P.induct	0	453216	isabelle/pss_defs.thy	259	false	5077062	0	true
pss_defs.P.elims	pss_defs	pss_defs.P.elims	0	453220	isabelle/pss_defs.thy	259	false	5077062	0	true
pss_defs.nadm_def	pss_defs	pss_defs.nadm_def	0	453288	isabelle/pss_defs.thy	282	false	5077352	0	false
pss_defs.adm_def	pss_defs	pss_defs.adm_def	0	453316	isabelle/pss_defs.thy	287	false	5077764	0	false
pss_defs.AdmSet_def	pss_defs	pss_defs.AdmSet_def	0	453354	isabelle/pss_defs.thy	292	false	5078014	0	false
pss_defs.Adm_def	pss_defs	pss_defs.Adm_def	0	453402	isabelle/pss_defs.thy	297	false	5078246	0	false
pss_defs.Marked_def	pss_defs	pss_defs.Marked_def	0	453470	isabelle/pss_defs.thy	302	false	5078758	0	false
pss_defs.IdxSum_def	pss_defs	pss_defs.IdxSum_def	0	453534	isabelle/pss_defs.thy	313	false	5079368	0	false
pss_defs.TrMax_def	pss_defs	pss_defs.TrMax_def	0	453640	isabelle/pss_defs.thy	321	false	5080060	0	false
pss_defs.Br_def	pss_defs	pss_defs.Br_def	0	453724	isabelle/pss_defs.thy	326	false	5080668	0	false
pss_defs.FirstNodes_def	pss_defs	pss_defs.FirstNodes_def	0	453820	isabelle/pss_defs.thy	331	false	5081182	0	false
pss_defs.Joints_def	pss_defs	pss_defs.Joints_def	0	453890	isabelle/pss_defs.thy	339	false	5081606	0	false
pss_defs.diagSeq_def	pss_defs	pss_defs.diagSeq_def	0	454012	isabelle/pss_defs.thy	347	false	5082118	0	false
pss_defs.Red_graph.intros	pss_defs	pss_defs.Red_graph.intros	0	454874	isabelle/pss_defs.thy	374	true	5082518	0	true
pss_defs.Red_graph.cases	pss_defs	pss_defs.Red_graph.cases	0	454882	isabelle/pss_defs.thy	374	true	5082518	0	true
pss_defs.Red_graph.induct	pss_defs	pss_defs.Red_graph.induct	0	454940	isabelle/pss_defs.thy	374	true	5082518	0	true
pss_defs.Red_graph.simps	pss_defs	pss_defs.Red_graph.simps	0	454962	isabelle/pss_defs.thy	374	true	5082518	0	true
pss_defs.Red_graph.inducts	pss_defs	pss_defs.Red_graph.inducts	0	454984	isabelle/pss_defs.thy	374	true	5082518	0	true
pss_defs.Red_rel.intros(1)	pss_defs	pss_defs.Red_rel.intros	1	455416	isabelle/pss_defs.thy	374	true	5082518	0	true
pss_defs.Red_rel.intros(2)	pss_defs	pss_defs.Red_rel.intros	2	455424	isabelle/pss_defs.thy	374	true	5082518	0	true
pss_defs.Red_rel.intros(3)	pss_defs	pss_defs.Red_rel.intros	3	455428	isabelle/pss_defs.thy	374	true	5082518	0	true
pss_defs.Red_rel.intros(4)	pss_defs	pss_defs.Red_rel.intros	4	455430	isabelle/pss_defs.thy	374	true	5082518	0	true
pss_defs.Red_rel.cases	pss_defs	pss_defs.Red_rel.cases	0	455444	isabelle/pss_defs.thy	374	true	5082518	0	true
pss_defs.Red_rel.induct	pss_defs	pss_defs.Red_rel.induct	0	455580	isabelle/pss_defs.thy	374	true	5082518	0	true
pss_defs.Red_rel.simps	pss_defs	pss_defs.Red_rel.simps	0	455594	isabelle/pss_defs.thy	374	true	5082518	0	true
pss_defs.Red_rel.inducts	pss_defs	pss_defs.Red_rel.inducts	0	455614	isabelle/pss_defs.thy	374	true	5082518	0	true
pss_defs.Red.psimps	pss_defs	pss_defs.Red.psimps	0	456504	isabelle/pss_defs.thy	374	false	5082518	0	true
pss_defs.Red.pinduct	pss_defs	pss_defs.Red.pinduct	0	456506	isabelle/pss_defs.thy	374	false	5082518	0	true
pss_defs.Red.termination	pss_defs	pss_defs.Red.termination	0	456510	isabelle/pss_defs.thy	374	true	5082518	0	true
pss_defs.Red.cases	pss_defs	pss_defs.Red.cases	0	456526	isabelle/pss_defs.thy	374	false	5082518	0	true
pss_defs.Red.pelims	pss_defs	pss_defs.Red.pelims	0	456536	isabelle/pss_defs.thy	374	false	5082518	0	true
pss_defs.Red.domintros	pss_defs	pss_defs.Red.domintros	0	456570	isabelle/pss_defs.thy	374	false	5082518	0	true
pss_defs.RT_PS_def	pss_defs	pss_defs.RT_PS_def	0	456684	isabelle/pss_defs.thy	415	false	5100130	0	false
pss_defs.RedCondA_def	pss_defs	pss_defs.RedCondA_def	0	456714	isabelle/pss_defs.thy	426	false	5100242	0	false
pss_defs.RedCondB_def	pss_defs	pss_defs.RedCondB_def	0	456748	isabelle/pss_defs.thy	430	false	5100356	0	false
pss_defs.ST_PSp.diag	pss_defs	pss_defs.ST_PSp.diag	0	456838	isabelle/pss_defs.thy	444	false	5100482	0	true
pss_defs.ST_PSp.oper	pss_defs	pss_defs.ST_PSp.oper	0	456840	isabelle/pss_defs.thy	445	false	5100482	0	true
pss_defs.ST_PSp.intros(1)	pss_defs	pss_defs.ST_PSp.intros	1	456848	isabelle/pss_defs.thy	443	false	5100482	0	true
pss_defs.ST_PSp.intros(2)	pss_defs	pss_defs.ST_PSp.intros	2	456850	isabelle/pss_defs.thy	443	false	5100482	0	true
pss_defs.ST_PSp.cases	pss_defs	pss_defs.ST_PSp.cases	0	456858	isabelle/pss_defs.thy	443	false	5100482	0	true
pss_defs.ST_PSp.induct	pss_defs	pss_defs.ST_PSp.induct	0	456866	isabelle/pss_defs.thy	443	false	5100482	0	true
pss_defs.ST_PSp.simps	pss_defs	pss_defs.ST_PSp.simps	0	456870	isabelle/pss_defs.thy	443	false	5100482	0	true
pss_defs.ST_PSp.inducts	pss_defs	pss_defs.ST_PSp.inducts	0	456874	isabelle/pss_defs.thy	443	false	5100482	0	true
pss_defs.ST_PS_def	pss_defs	pss_defs.ST_PS_def	0	456908	isabelle/pss_defs.thy	443	false	5100482	0	false
pss_defs.ST_PSp_ST_PS_eq	pss_defs	pss_defs.ST_PSp_ST_PS_eq	0	456916	isabelle/pss_defs.thy	443	false	5100482	0	false
pss_defs.ST_PS.diag	pss_defs	pss_defs.ST_PS.diag	0	457082	isabelle/pss_defs.thy	444	false	5100482	0	true
pss_defs.ST_PS.oper	pss_defs	pss_defs.ST_PS.oper	0	457086	isabelle/pss_defs.thy	445	false	5100482	0	true
pss_defs.ST_PS.intros(1)	pss_defs	pss_defs.ST_PS.intros	1	457094	isabelle/pss_defs.thy	443	false	5100482	0	true
pss_defs.ST_PS.intros(2)	pss_defs	pss_defs.ST_PS.intros	2	457098	isabelle/pss_defs.thy	443	false	5100482	0	true
pss_defs.ST_PS.cases	pss_defs	pss_defs.ST_PS.cases	0	457102	isabelle/pss_defs.thy	443	false	5100482	0	true
pss_defs.ST_PS.induct	pss_defs	pss_defs.ST_PS.induct	0	457106	isabelle/pss_defs.thy	443	false	5100482	0	true
pss_defs.ST_PS.simps	pss_defs	pss_defs.ST_PS.simps	0	457108	isabelle/pss_defs.thy	443	false	5100482	0	true
pss_defs.ST_PS.inducts	pss_defs	pss_defs.ST_PS.inducts	0	457110	isabelle/pss_defs.thy	443	false	5100482	0	true
pss_defs.SkT_PS_graph.intros(1)	pss_defs	pss_defs.SkT_PS_graph.intros	1	457202	isabelle/pss_defs.thy	452	true	5101674	0	true
pss_defs.SkT_PS_graph.intros(2)	pss_defs	pss_defs.SkT_PS_graph.intros	2	457234	isabelle/pss_defs.thy	452	true	5101674	0	true
pss_defs.SkT_PS_graph.cases	pss_defs	pss_defs.SkT_PS_graph.cases	0	457242	isabelle/pss_defs.thy	452	true	5101674	0	true
pss_defs.SkT_PS_graph.induct	pss_defs	pss_defs.SkT_PS_graph.induct	0	457244	isabelle/pss_defs.thy	452	true	5101674	0	true
pss_defs.SkT_PS_graph.simps	pss_defs	pss_defs.SkT_PS_graph.simps	0	457246	isabelle/pss_defs.thy	452	true	5101674	0	true
pss_defs.SkT_PS_graph.inducts	pss_defs	pss_defs.SkT_PS_graph.inducts	0	457248	isabelle/pss_defs.thy	452	true	5101674	0	true
pss_defs.SkT_PS_rel.intros	pss_defs	pss_defs.SkT_PS_rel.intros	0	457308	isabelle/pss_defs.thy	452	true	5101674	0	true
pss_defs.SkT_PS_rel.cases	pss_defs	pss_defs.SkT_PS_rel.cases	0	457310	isabelle/pss_defs.thy	452	true	5101674	0	true
pss_defs.SkT_PS_rel.induct	pss_defs	pss_defs.SkT_PS_rel.induct	0	457316	isabelle/pss_defs.thy	452	true	5101674	0	true
pss_defs.SkT_PS_rel.simps	pss_defs	pss_defs.SkT_PS_rel.simps	0	457318	isabelle/pss_defs.thy	452	true	5101674	0	true
pss_defs.SkT_PS_rel.inducts	pss_defs	pss_defs.SkT_PS_rel.inducts	0	457320	isabelle/pss_defs.thy	452	true	5101674	0	true
pss_defs.SkT_PS.psimps(1)	pss_defs	pss_defs.SkT_PS.psimps	1	457346	isabelle/pss_defs.thy	452	true	5101674	0	true
pss_defs.SkT_PS.psimps(2)	pss_defs	pss_defs.SkT_PS.psimps	2	457348	isabelle/pss_defs.thy	452	true	5101674	0	true
pss_defs.SkT_PS.pinduct	pss_defs	pss_defs.SkT_PS.pinduct	0	457360	isabelle/pss_defs.thy	452	true	5101674	0	true
pss_defs.SkT_PS.termination	pss_defs	pss_defs.SkT_PS.termination	0	457364	isabelle/pss_defs.thy	452	true	5101674	0	true
pss_defs.SkT_PS.cases	pss_defs	pss_defs.SkT_PS.cases	0	457372	isabelle/pss_defs.thy	452	false	5101674	0	true
pss_defs.SkT_PS.pelims	pss_defs	pss_defs.SkT_PS.pelims	0	457378	isabelle/pss_defs.thy	452	false	5101674	0	true
pss_defs.SkT_PS.simps(1)	pss_defs	pss_defs.SkT_PS.simps	1	457388	isabelle/pss_defs.thy	452	false	5101674	0	true
pss_defs.SkT_PS.simps(2)	pss_defs	pss_defs.SkT_PS.simps	2	457390	isabelle/pss_defs.thy	452	false	5101674	0	true
pss_defs.SkT_PS.induct	pss_defs	pss_defs.SkT_PS.induct	0	457408	isabelle/pss_defs.thy	452	false	5101674	0	true
pss_defs.SkT_PS.elims	pss_defs	pss_defs.SkT_PS.elims	0	457412	isabelle/pss_defs.thy	452	false	5101674	0	true
pss_defs.anchored_slice_def	pss_defs	pss_defs.anchored_slice_def	0	457434	isabelle/pss_defs.thy	467	false	5103922	0	false
pss_defs.descending_def	pss_defs	pss_defs.descending_def	0	457442	isabelle/pss_defs.thy	480	false	5104066	0	false
pss_defs.nextAdm_def	pss_defs	pss_defs.nextAdm_def	0	457450	isabelle/pss_defs.thy	498	false	5104190	0	false
pss_defs.DT_PS_def	pss_defs	pss_defs.DT_PS_def	0	457458	isabelle/pss_defs.thy	511	false	5104338	0	false
pss_defs.LastStep_def	pss_defs	pss_defs.LastStep_def	0	457500	isabelle/pss_defs.thy	533	false	5104434	0	false
pss_paper.p_5_1_parent_exists_1	pss_paper	pss_paper.p_5_1_parent_exists_1	0	465592	isabelle/pss_paper.thy	26	false	5184484	0	true
pss_paper.p_5_1_parent_exists_2	pss_paper	pss_paper.p_5_1_parent_exists_2	0	465600	isabelle/pss_paper.thy	32	false	5184544	0	true
pss_paper.p_5_1_parent_exists_3	pss_paper	pss_paper.p_5_1_parent_exists_3	0	465608	isabelle/pss_paper.thy	38	false	5184604	0	true
pss_paper.p_5_1_parent_exists_4	pss_paper	pss_paper.p_5_1_parent_exists_4	0	465616	isabelle/pss_paper.thy	44	false	5184664	0	true
pss_paper.p_5_1_parent_basic_1	pss_paper	pss_paper.p_5_1_parent_basic_1	0	465622	isabelle/pss_paper.thy	53	false	5184740	0	true
pss_paper.p_5_1_parent_basic_2	pss_paper	pss_paper.p_5_1_parent_basic_2	0	465632	isabelle/pss_paper.thy	59	false	5184798	0	true
pss_paper.p_5_1_ancestor_basic_1	pss_paper	pss_paper.p_5_1_ancestor_basic_1	0	465640	isabelle/pss_paper.thy	67	false	5184872	0	true
pss_paper.p_5_1_ancestor_basic_2	pss_paper	pss_paper.p_5_1_ancestor_basic_2	0	465648	isabelle/pss_paper.thy	73	false	5184930	0	true
pss_paper.p_5_1_ancestor_tree_1	pss_paper	pss_paper.p_5_1_ancestor_tree_1	0	465656	isabelle/pss_paper.thy	81	false	5185004	0	true
pss_paper.p_5_1_ancestor_tree_2	pss_paper	pss_paper.p_5_1_ancestor_tree_2	0	465664	isabelle/pss_paper.thy	86	false	5185062	0	true
pss_paper.p_5_3_pred_is_oper1	pss_paper	pss_paper.p_5_3_pred_is_oper1	0	465672	isabelle/pss_paper.thy	96	false	5185152	0	true
pss_paper.p_5_4_F_oper_dom	pss_paper	pss_paper.p_5_4_F_oper_dom	0	465680	isabelle/pss_paper.thy	115	false	5185228	0	true
pss_paper.p_5_4_F_oper_val	pss_paper	pss_paper.p_5_4_F_oper_val	0	465688	isabelle/pss_paper.thy	120	false	5185288	0	true
pss_paper.p_6_1_le_IncrFirst_inv	pss_paper	pss_paper.p_6_1_le_IncrFirst_inv	0	465696	isabelle/pss_paper.thy	132	false	5185396	0	true
pss_paper.p_6_2_multi_crit_12	pss_paper	pss_paper.p_6_2_multi_crit_12	0	465704	isabelle/pss_paper.thy	142	false	5185484	0	true
pss_paper.p_6_2_multi_crit_23	pss_paper	pss_paper.p_6_2_multi_crit_23	0	465712	isabelle/pss_paper.thy	147	false	5185528	0	true
pss_paper.p_6_2_mono_prefix	pss_paper	pss_paper.p_6_2_mono_prefix	0	465720	isabelle/pss_paper.thy	155	false	5185588	0	true
pss_paper.p_6_2_mono_ancestor_slice	pss_paper	pss_paper.p_6_2_mono_ancestor_slice	0	465728	isabelle/pss_paper.thy	162	false	5185654	0	true
pss_paper.p_6_2_P_IncrFirst	pss_paper	pss_paper.p_6_2_P_IncrFirst	0	465736	isabelle/pss_paper.thy	169	false	5185722	0	true
pss_paper.p_6_2_P_components_1	pss_paper	pss_paper.p_6_2_P_components_1	0	465744	isabelle/pss_paper.thy	176	false	5185776	0	true
pss_paper.p_6_2_P_components_2	pss_paper	pss_paper.p_6_2_P_components_2	0	465752	isabelle/pss_paper.thy	181	false	5185818	0	true
pss_paper.p_6_2_P_additive	pss_paper	pss_paper.p_6_2_P_additive	0	465760	isabelle/pss_paper.thy	188	false	5185876	0	true
pss_paper.p_6_2_P_oper_1	pss_paper	pss_paper.p_6_2_P_oper_1	0	465768	isabelle/pss_paper.thy	197	false	5185944	0	true
pss_paper.p_6_2_P_oper_2	pss_paper	pss_paper.p_6_2_P_oper_2	0	465776	isabelle/pss_paper.thy	203	false	5185996	0	true
pss_paper.p_6_2_nonmulti_oper_1	pss_paper	pss_paper.p_6_2_nonmulti_oper_1	0	465784	isabelle/pss_paper.thy	212	false	5186064	0	true
pss_paper.p_6_2_nonmulti_oper_2	pss_paper	pss_paper.p_6_2_nonmulti_oper_2	0	465792	isabelle/pss_paper.thy	218	false	5186116	0	true
pss_paper.p_6_3_adm_slice	pss_paper	pss_paper.p_6_3_adm_slice	0	465800	isabelle/pss_paper.thy	229	false	5186200	0	true
pss_paper.p_6_3_admof_slice	pss_paper	pss_paper.p_6_3_admof_slice	0	465808	isabelle/pss_paper.thy	236	false	5186282	0	true
pss_paper.p_6_3_marked_slice	pss_paper	pss_paper.p_6_3_marked_slice	0	465816	isabelle/pss_paper.thy	243	false	5186364	0	true
pss_paper.p_6_4_P_IdxSum	pss_paper	pss_paper.p_6_4_P_IdxSum	0	465824	isabelle/pss_paper.thy	254	false	5186462	0	true
pss_paper.p_6_4_P_IdxSum_char_1	pss_paper	pss_paper.p_6_4_P_IdxSum_char_1	0	465832	isabelle/pss_paper.thy	261	false	5186528	0	true
pss_paper.p_6_4_P_IdxSum_char_2	pss_paper	pss_paper.p_6_4_P_IdxSum_char_2	0	465840	isabelle/pss_paper.thy	266	false	5186580	0	true
pss_paper.p_6_4_P_leftend_mono	pss_paper	pss_paper.p_6_4_P_leftend_mono	0	465848	isabelle/pss_paper.thy	273	false	5186650	0	true
pss_paper.p_6_4_mono_slice_next	pss_paper	pss_paper.p_6_4_mono_slice_next	0	465856	isabelle/pss_paper.thy	280	false	5186724	0	true
pss_paper.p_6_4_FirstNodes_TrMax_Joints	pss_paper	pss_paper.p_6_4_FirstNodes_TrMax_Joints	0	465864	isabelle/pss_paper.thy	292	false	5186798	0	true
pss_paper.p_6_4_FirstNodes_Joints_mono	pss_paper	pss_paper.p_6_4_FirstNodes_Joints_mono	0	465872	isabelle/pss_paper.thy	307	false	5186880	0	true
pss_paper.p_6_4_mono_slice	pss_paper	pss_paper.p_6_4_mono_slice	0	465880	isabelle/pss_paper.thy	316	false	5186954	0	true
pss_paper.p_6_5_Red_welldef	pss_paper	pss_paper.p_6_5_Red_welldef	0	465888	isabelle/pss_paper.thy	345	false	5187060	0	true
pss_paper.p_6_5_Red_IncrFirst	pss_paper	pss_paper.p_6_5_Red_IncrFirst	0	465896	isabelle/pss_paper.thy	352	false	5187118	0	true
pss_paper.p_6_5_Lng_Red	pss_paper	pss_paper.p_6_5_Lng_Red	0	465904	isabelle/pss_paper.thy	359	false	5187174	0	true
pss_paper.p_6_5_Red_zeroT	pss_paper	pss_paper.p_6_5_Red_zeroT	0	465912	isabelle/pss_paper.thy	366	false	5187232	0	true
pss_paper.p_6_5_Red_le	pss_paper	pss_paper.p_6_5_Red_le	0	465920	isabelle/pss_paper.thy	373	false	5187288	0	true
pss_paper.p_6_5_Red_monoT	pss_paper	pss_paper.p_6_5_Red_monoT	0	465928	isabelle/pss_paper.thy	380	false	5187362	0	true
pss_paper.p_6_5_P_Red	pss_paper	pss_paper.p_6_5_P_Red	0	465936	isabelle/pss_paper.thy	387	false	5187418	0	true
pss_paper.p_6_5_monoT_Red	pss_paper	pss_paper.p_6_5_monoT_Red	0	465944	isabelle/pss_paper.thy	404	false	5187490	0	true
pss_paper.p_6_5_Red_idem	pss_paper	pss_paper.p_6_5_Red_idem	0	465952	isabelle/pss_paper.thy	412	false	5187554	0	true
pss_paper.p_6_5_Red_Pred	pss_paper	pss_paper.p_6_5_Red_Pred	0	465960	isabelle/pss_paper.thy	419	false	5187610	0	true
pss_paper.p_6_5_Red_oper	pss_paper	pss_paper.p_6_5_Red_oper	0	465968	isabelle/pss_paper.thy	426	false	5187666	0	true
pss_paper.p_6_5_Red_adm	pss_paper	pss_paper.p_6_5_Red_adm	0	465976	isabelle/pss_paper.thy	433	false	5187730	0	true
pss_paper.p_6_5_admof_Red	pss_paper	pss_paper.p_6_5_admof_Red	0	465984	isabelle/pss_paper.thy	440	false	5187786	0	true
pss_paper.p_6_5_Red_marked	pss_paper	pss_paper.p_6_5_Red_marked	0	465992	isabelle/pss_paper.thy	449	false	5187848	0	true
pss_paper.p_6_6_reduced_slice	pss_paper	pss_paper.p_6_6_reduced_slice	0	466000	isabelle/pss_paper.thy	463	false	5187930	0	true
pss_paper.p_6_6_P_reduced	pss_paper	pss_paper.p_6_6_P_reduced	0	466008	isabelle/pss_paper.thy	470	false	5188004	0	true
pss_paper.p_6_6_reduced_oper	pss_paper	pss_paper.p_6_6_reduced_oper	0	466016	isabelle/pss_paper.thy	477	false	5188064	0	true
pss_paper.p_6_6_reduced_iff_cond	pss_paper	pss_paper.p_6_6_reduced_iff_cond	0	466024	isabelle/pss_paper.thy	484	false	5188128	0	true
pss_paper.p_6_6_Red_leftend_1	pss_paper	pss_paper.p_6_6_Red_leftend_1	0	466032	isabelle/pss_paper.thy	491	false	5188184	0	true
pss_paper.p_6_6_Red_leftend_2	pss_paper	pss_paper.p_6_6_Red_leftend_2	0	466040	isabelle/pss_paper.thy	498	false	5188240	0	true
pss_paper.p_6_6_reduced_coeff	pss_paper	pss_paper.p_6_6_reduced_coeff	0	466048	isabelle/pss_paper.thy	506	false	5188314	0	true
pss_paper.p_6_6_reduced_leftend	pss_paper	pss_paper.p_6_6_reduced_leftend	0	466056	isabelle/pss_paper.thy	514	false	5188380	0	true
pss_paper.p_6_6_condAB_coeff	pss_paper	pss_paper.p_6_6_condAB_coeff	0	466064	isabelle/pss_paper.thy	522	false	5188448	0	true
pss_paper.p_6_6_ancestor_slice_Red_IncrFirst	pss_paper	pss_paper.p_6_6_ancestor_slice_Red_IncrFirst	0	466072	isabelle/pss_paper.thy	535	false	5188518	0	true
pss_paper.p_6_6_oneColumn	pss_paper	pss_paper.p_6_6_oneColumn	0	466080	isabelle/pss_paper.thy	545	false	5188598	0	true
pss_paper.p_6_7_standard_reduced	pss_paper	pss_paper.p_6_7_standard_reduced	0	466088	isabelle/pss_paper.thy	555	false	5188674	0	true
pss_paper.p_6_7_ST_eq_Union_SkT	pss_paper	pss_paper.p_6_7_ST_eq_Union_SkT	0	466094	isabelle/pss_paper.thy	561	false	5188722	0	true
pss_paper.p_6_7_standard_P_components	pss_paper	pss_paper.p_6_7_standard_P_components	0	466104	isabelle/pss_paper.thy	567	false	5188772	0	true
pss_paper.p_6_7_standard_prefix	pss_paper	pss_paper.p_6_7_standard_prefix	0	466112	isabelle/pss_paper.thy	574	false	5188840	0	true
pss_paper.p_6_8_standard_slice_Br_descending	pss_paper	pss_paper.p_6_8_standard_slice_Br_descending	0	466120	isabelle/pss_paper.thy	584	false	5188922	0	true
