source	target	source_serial	target_serial
pss_mechanized.IdxSum_map_IncrFirst	pss_mechanized.length_o_IncrFirst	534556	534528
pss_mechanized.IdxSum_map_funpow_IncrFirst	pss_mechanized.Lng_funpow_IncrFirst	706460	493008
pss_mechanized.IdxSum_map_funpow_IncrFirst	pss_mechanized.length_funpow_IncrFirst	706460	706382
pss_mechanized.IncrFirst_Pcut_eq	pss_mechanized.Lng_IncrFirst	479968	478456
pss_mechanized.IncrFirst_Pcut_eq	pss_mechanized.m_6_1_le_IncrFirst_inv	479968	478678
pss_mechanized.IncrFirst_monoT_eq	pss_mechanized.IncrFirst_zeroT_eq	479812	479724
pss_mechanized.IncrFirst_monoT_eq	pss_mechanized.Lng_IncrFirst	479812	478456
pss_mechanized.IncrFirst_monoT_eq	pss_mechanized.m_6_1_le_IncrFirst_inv	479812	478678
pss_mechanized.IncrFirst_multiT_eq	pss_mechanized.IncrFirst_monoT_eq	479882	479812
pss_mechanized.IncrFirst_multiT_eq	pss_mechanized.IncrFirst_zeroT_eq	479882	479724
pss_mechanized.IncrFirst_zeroT_eq	pss_mechanized.Lng_IncrFirst	479724	478456
pss_mechanized.IncrFirst_zeroT_eq	pss_mechanized.entry_IncrFirst	479724	478520
pss_mechanized.Joints_coreReduce	pss_mechanized.Br_coreReduce	706990	706594
pss_mechanized.Joints_coreReduce	pss_mechanized.FirstNodes_coreReduce	706990	706650
pss_mechanized.Joints_coreReduce	pss_mechanized.Joints_parent_nextR	706990	494574
pss_mechanized.Joints_coreReduce	pss_mechanized.coreReduce_nextrel0_transfer	706990	706806
pss_mechanized.Joints_coreReduce	pss_mechanized.idxsum_parent0_unique	706990	488004
pss_mechanized.Joints_parent_nextR	pss_mechanized.FirstNodes_nth	494574	489774
pss_mechanized.Joints_parent_nextR	pss_mechanized.Joints_nth	494574	489868
pss_mechanized.Joints_parent_nextR	pss_mechanized.TrMax_bound	494574	489582
pss_mechanized.Joints_parent_nextR	pss_mechanized.m_6_4_mono_slice_next	494574	489440
pss_mechanized.Lng_Br_le	pss_mechanized.Lng_seg	492528	478982
pss_mechanized.Lng_Br_le	pss_mechanized.length_nth_le_concat	492528	492522
pss_mechanized.Lng_Br_le	pss_mechanized.poper_concat_P	492528	482450
pss_mechanized.Lng_bwdN	pss_mechanized.Lng_diagPre	567336	567192
pss_mechanized.Lng_bwdN	pss_mechanized.Lng_rebaseNp	567336	566790
pss_mechanized.Lng_bwdN_minus1	pss_mechanized.Lng_bwdN	567438	567336
pss_mechanized.Lng_funpow_IncrFirst	pss_mechanized.Lng_IncrFirst	493008	478456
pss_mechanized.Mtail_ramp_from_Ez	pss_mechanized.Ep_from_le0_tail	677676	672284
pss_mechanized.Mtail_ramp_from_Ez	pss_mechanized.le0_trans	677676	477422
pss_mechanized.Mtail_ramp_from_Ez	pss_mechanized.le0_z_j1_from_Ez	677676	673918
pss_mechanized.Mtail_ramp_from_Ez	pss_mechanized.subramp_from_Ep	677676	671874
pss_mechanized.Mtail_ramp_from_Ez	pss_mechanized.tailReach_from_row0_strict	677676	672512
pss_mechanized.NJ_eq_BrJ	pss_mechanized.Br_component_nonempty	704670	494732
pss_mechanized.NJ_eq_BrJ	pss_mechanized.Joints_parent_nextR	704670	494574
pss_mechanized.NJ_eq_BrJ	pss_mechanized.entry_FirstNodes_eq_component_gen	704670	498706
pss_mechanized.NJ_eq_BrJ	pss_mechanized.idxsum_parent0_unique	704670	488004
pss_mechanized.NJ_eq_BrJ	pss_mechanized.m_5_1_ancestor_basic_1	704670	477034
pss_mechanized.NJ_eq_BrJ	pss_mechanized.m_5_1_ancestor_tree_1	704670	477158
pss_mechanized.NJ_eq_BrJ	pss_mechanized.m_5_1_parent_exists_2	704670	477058
pss_mechanized.NJ_eq_BrJ	pss_mechanized.m_6_4_FirstNodes_TrMax_Joints	704670	489672
pss_mechanized.NJ_eq_BrJ	pss_mechanized.nextR0_largest_below	704670	489878
pss_mechanized.NJ_eq_BrJ	pss_mechanized.nextR1_unique	704670	491128
pss_mechanized.NJ_eq_BrJ	pss_mechanized.trunk_entries_diag	704670	704468
pss_mechanized.NJ_nonmulti	pss_mechanized.Br_component_nonempty	495214	494732
pss_mechanized.NJ_nonmulti	pss_mechanized.Br_component_nonmulti	495214	494794
pss_mechanized.NJ_nonmulti	pss_mechanized.Lng_NJ	495214	495134
pss_mechanized.NJ_nonmulti	pss_mechanized.entry_NJ_hi	495214	495176
pss_mechanized.NJ_nonmulti	pss_mechanized.joints_lt_branch_first	495214	494632
pss_mechanized.NJ_nonmulti	pss_mechanized.le0_build	495214	477112
pss_mechanized.NJ_nonmulti	pss_mechanized.le0_refl	495214	476850
pss_mechanized.NJ_nonmulti	pss_mechanized.monoT_row0_min	495214	493652
pss_mechanized.P_add_Pcut_left_min	pss_mechanized.P_add_Pcut_props	480642	480548
pss_mechanized.P_add_Pcut_left_min	pss_mechanized.m_5_1_parent_exists_1	480642	476928
pss_mechanized.P_add_Pcut_left_min	pss_mechanized.m_6_2_not_multi_iff_le	480642	478754
pss_mechanized.P_add_drop_ancestor	pss_mechanized.P_add_seg_to_last_eq_drop	480730	480500
pss_mechanized.P_add_drop_ancestor	pss_mechanized.m_6_2_mono_ancestor_slice	480730	479374
pss_mechanized.P_add_seg_to_last_eq_drop	pss_mechanized.P_add_drop_eq_map_nth	480500	480422
pss_mechanized.P_blocks_nonempty	pss_mechanized.Pcut_le	493628	481020
pss_mechanized.P_bumpAt	pss_mechanized.Lng_bumpAt	537230	536900
pss_mechanized.P_bumpAt	pss_mechanized.bumpAt_Pcut_eq	537230	537224
pss_mechanized.P_bumpAt	pss_mechanized.bumpAt_drop	537230	537208
pss_mechanized.P_bumpAt	pss_mechanized.bumpAt_multiT_eq	537230	537216
pss_mechanized.P_bumpAt	pss_mechanized.bumpAt_take	537230	537202
pss_mechanized.P_butlast_take_at_anchor	pss_mechanized.Lng_seg	516466	478982
pss_mechanized.P_butlast_take_at_anchor	pss_mechanized.entry_seg	516466	479150
pss_mechanized.P_butlast_take_at_anchor	pss_mechanized.notmulti_seg_prefix	516466	516374
pss_mechanized.P_butlast_take_at_anchor	pss_mechanized.oper_d1pos_branch_anchor	516466	513900
pss_mechanized.P_butlast_take_at_anchor	pss_mechanized.oper_d1pos_notbrle_P_split	516466	513532
pss_mechanized.P_butlast_take_at_anchor	pss_mechanized.seg_of_seg	516466	499018
pss_mechanized.P_concat_replicate_nonmulti	pss_mechanized.drop_eq_seg	488904	481098
pss_mechanized.P_concat_replicate_nonmulti	pss_mechanized.m_6_2_P_additive	488904	480978
pss_mechanized.P_concat_replicate_nonmulti	pss_mechanized.m_6_2_multi_crit_12	488904	478940
pss_mechanized.P_concat_replicate_nonmulti	pss_mechanized.poper_P_nonmulti	488904	482394
pss_mechanized.P_concat_replicate_nonmulti	pss_mechanized.seg_0_eq_take	488904	480300
pss_mechanized.P_funpow_IncrFirst	pss_mechanized.m_6_2_P_IncrFirst	480144	480108
pss_mechanized.P_seg_butlast_bridge	pss_mechanized.Lng_seg	499598	478982
pss_mechanized.P_seg_butlast_bridge	pss_mechanized.poper_last_P_multi	499598	482506
pss_mechanized.P_seg_butlast_bridge	pss_mechanized.take_seg	499598	499516
pss_mechanized.Pred_diagSeq_Suc	pss_mechanized.Lng_diagSeq	497916	492486
pss_mechanized.Pred_diagSeq_Suc	pss_mechanized.diagSeq_Suc_snoc	497916	497860
pss_mechanized.Qprime_diag	pss_mechanized.Lng_diagSeq	667592	492486
pss_mechanized.Qprime_diag	pss_mechanized.nextR1_diagSeq	667592	492554
pss_mechanized.Qprime_diag	pss_mechanized.nextR1_unique	667592	491128
pss_mechanized.RedCondAB_ST_PS	pss_mechanized.m_6_7_standard_RedCondAB	704310	580384
pss_mechanized.RedCondAB_ST_PS	pss_mechanized.operCA_tiling_full	704310	704212
pss_mechanized.RedCondAB_ST_PS	pss_mechanized.operCB_tiling	704310	581532
pss_mechanized.RedCondA_BrJ	pss_mechanized.Lng_seg	704792	478982
pss_mechanized.RedCondA_BrJ	pss_mechanized.RedCondA_seg	704792	704732
pss_mechanized.RedCondA_BrJ	pss_mechanized.TrMax_bound	704792	489582
pss_mechanized.RedCondA_BrJ	pss_mechanized.idxsum_concat_P	704792	487196
pss_mechanized.RedCondA_BrJ	pss_mechanized.idxsum_nth	704792	487242
pss_mechanized.RedCondA_BrJ	pss_mechanized.m_6_4_P_IdxSum	704792	487918
pss_mechanized.RedCondA_Pred	pss_mechanized.Pred_preserves_T_PS	579282	476820
pss_mechanized.RedCondA_Pred	pss_mechanized.fa_RedCondA_seg	579282	575404
pss_mechanized.RedCondA_Pred	pss_mechanized.seg_0_eq_take	579282	480300
pss_mechanized.RedCondA_bwdN	pss_mechanized.RedCondA_bwdN_case1_and_diag	570936	570744
pss_mechanized.RedCondA_bwdN	pss_mechanized.RedCondA_bwdN_cross_case	570936	570890
pss_mechanized.RedCondA_bwdN	pss_mechanized.seg_rmono_of_monoT	570936	570930
pss_mechanized.RedCondA_bwdN_case1_and_diag	pss_mechanized.Lng_bwdN	570744	567336
pss_mechanized.RedCondA_bwdN_case1_and_diag	pss_mechanized.RedCondA_bwdN_diag_case	570744	569196
pss_mechanized.RedCondA_bwdN_case1_and_diag	pss_mechanized.entry_bwdN_rebase_M	570744	569322
pss_mechanized.RedCondA_bwdN_case1_and_diag	pss_mechanized.nextrel0_bwdN_rebase_to_M	570744	569712
pss_mechanized.RedCondA_bwdN_case1_and_diag	pss_mechanized.nextrel1_bwdN_rebase_to_M	570744	570564
pss_mechanized.RedCondA_bwdN_case1_and_diag	pss_mechanized.wf17_nextR_unique	570744	558172
pss_mechanized.RedCondA_bwdN_cross_case	pss_mechanized.Lng_bwdN	570890	567336
pss_mechanized.RedCondA_bwdN_cross_case	pss_mechanized.diagPre_eq_diagSeq	570890	568802
pss_mechanized.RedCondA_bwdN_cross_case	pss_mechanized.entry_bwdN_diag_le	570890	569068
pss_mechanized.RedCondA_bwdN_cross_case	pss_mechanized.le0_bwdN_junction_to_rebase	570890	570806
pss_mechanized.RedCondA_bwdN_cross_case	pss_mechanized.le0_diagSeq_append_prefix	570890	493246
pss_mechanized.RedCondA_bwdN_cross_case	pss_mechanized.le0_trans	570890	477422
pss_mechanized.RedCondA_bwdN_diag_case	pss_mechanized.Lng_bwdN	569196	567336
pss_mechanized.RedCondA_bwdN_diag_case	pss_mechanized.diagPre_eq_diagSeq	569196	568802
pss_mechanized.RedCondA_bwdN_diag_case	pss_mechanized.entry_bwdN_diag_le	569196	569068
pss_mechanized.RedCondA_bwdN_diag_case	pss_mechanized.le0_diagSeq_append_prefix	569196	493246
pss_mechanized.RedCondA_funpow_IncrFirst	pss_mechanized.entry_funpow_IncrFirst0	705842	493348
pss_mechanized.RedCondA_funpow_IncrFirst	pss_mechanized.entry_funpow_IncrFirst1	705842	493368
pss_mechanized.RedCondA_funpow_IncrFirst	pss_mechanized.nextR_funpow_IncrFirst_eq	705842	705782
pss_mechanized.RedCondA_oper_nontiling	pss_mechanized.RedCondA_Pred	579540	579282
pss_mechanized.RedCondA_rebaseRow0	pss_mechanized.entry_rebaseRow0_0	573934	496064
pss_mechanized.RedCondA_rebaseRow0	pss_mechanized.entry_rebaseRow0_1	573934	496146
pss_mechanized.RedCondA_rebaseRow0	pss_mechanized.hasParent_rebaseRow0_eq	573934	573728
pss_mechanized.RedCondA_rebaseRow0	pss_mechanized.parent_rebaseRow0_eq	573934	573830
pss_mechanized.RedCondA_seg	pss_mechanized.Lng_seg	704732	478982
pss_mechanized.RedCondA_seg	pss_mechanized.adm_nextrel0_seg	704732	481310
pss_mechanized.RedCondA_seg	pss_mechanized.adm_nextrel1_seg	704732	481698
pss_mechanized.RedCondA_seg	pss_mechanized.entry_seg	704732	479150
pss_mechanized.RedCondA_seg	pss_mechanized.wf17_nextR_unique	704732	558172
pss_mechanized.RedCondA_shiftRow0	pss_mechanized.congR_nextR	704372	538754
pss_mechanized.RedCondA_shiftRow0	pss_mechanized.congR_self_shiftRow0	704372	540450
pss_mechanized.RedCondA_shiftRow0	pss_mechanized.entry0_ge_min	704372	493692
pss_mechanized.RedCondA_shiftRow0	pss_mechanized.entry_shiftRow0_0	704372	493674
pss_mechanized.RedCondA_shiftRow0	pss_mechanized.entry_shiftRow0_1	704372	493682
pss_mechanized.RedCondB_Pred	pss_mechanized.kfwd_entry_Pred_eq	579630	552050
pss_mechanized.RedCondB_Pred	pss_mechanized.kfwd_hasParent_Pred_iff	579630	552002
pss_mechanized.RedCondB_bwdN	pss_mechanized.bwdN_in_T_PS	568974	568542
pss_mechanized.RedCondB_bwdN	pss_mechanized.bwdN_left_end	568974	567576
pss_mechanized.RedCondB_bwdN	pss_mechanized.m_6_6_monoT_RedCondB	568974	567654
pss_mechanized.RedCondB_bwdN	pss_mechanized.monoT_bwdN	568974	568892
pss_mechanized.RedCondB_oper_nontiling	pss_mechanized.RedCondB_Pred	579774	579630
pss_mechanized.Red_Pred_core_diagSeq	pss_mechanized.Pred_diagSeq_Suc	535340	497916
pss_mechanized.Red_Pred_core_diagSeq	pss_mechanized.Red_core_diagSeq	535340	535316
pss_mechanized.Red_Pred_core_diagSeq	pss_mechanized.butlast_diagSeq	535340	535254
pss_mechanized.Red_coreReduce_eq	pss_mechanized.Br_component_nonempty	709118	494732
pss_mechanized.Red_coreReduce_eq	pss_mechanized.Br_component_nonmulti	709118	494794
pss_mechanized.Red_coreReduce_eq	pss_mechanized.Br_coreReduce	709118	706594
pss_mechanized.Red_coreReduce_eq	pss_mechanized.Lng_diagSeq	709118	492486
pss_mechanized.Red_coreReduce_eq	pss_mechanized.Lng_funpow_IncrFirst	709118	493008
pss_mechanized.Red_coreReduce_eq	pss_mechanized.Lng_seg	709118	478982
pss_mechanized.Red_coreReduce_eq	pss_mechanized.RedCondA_BrJ	709118	704792
pss_mechanized.Red_coreReduce_eq	pss_mechanized.RedCondA_funpow_IncrFirst	709118	705842
pss_mechanized.Red_coreReduce_eq	pss_mechanized.TrMax_bound	709118	489582
pss_mechanized.Red_coreReduce_eq	pss_mechanized.TrMax_coreReduce	709118	706260
pss_mechanized.Red_coreReduce_eq	pss_mechanized.coreReduce_block_value	709118	708568
pss_mechanized.Red_coreReduce_eq	pss_mechanized.coreReduce_m10pos_form	709118	534024
pss_mechanized.Red_coreReduce_eq	pss_mechanized.coreReduce_monoT_m10_pos	709118	494214
pss_mechanized.Red_coreReduce_eq	pss_mechanized.idxsum_concat_P	709118	487196
pss_mechanized.Red_coreReduce_eq	pss_mechanized.length_nth_le_concat	709118	492522
pss_mechanized.Red_coreReduce_eq	pss_mechanized.m_6_5_Red_welldef	709118	495596
pss_mechanized.Red_coreReduce_eq	pss_mechanized.monoT_funpow_IncrFirst	709118	494124
pss_mechanized.Red_coreReduce_eq	pss_mechanized.multiT_funpow_IncrFirst	709118	708078
pss_mechanized.Red_core_diagSeq	pss_mechanized.Lng_diagSeq	535316	492486
pss_mechanized.Red_core_diagSeq	pss_mechanized.TrMax_diagSeq	535316	492598
pss_mechanized.Red_core_diagSeq	pss_mechanized.diagSeq_in_T_PS	535316	535286
pss_mechanized.Red_core_diagSeq	pss_mechanized.entry_diagSeq	535316	492512
pss_mechanized.Red_core_diagSeq	pss_mechanized.m_6_5_Red_welldef	535316	495596
pss_mechanized.Red_core_diagSeq	pss_mechanized.not_multiT_diagSeq	535316	497976
pss_mechanized.Red_leftend_ge_row1	pss_mechanized.Lng_seg	532158	478982
pss_mechanized.Red_leftend_ge_row1	pss_mechanized.P_blocks_nonempty	532158	493628
pss_mechanized.Red_leftend_ge_row1	pss_mechanized.P_nonempty	532158	479566
pss_mechanized.Red_leftend_ge_row1	pss_mechanized.entry_diagSeq	532158	492512
pss_mechanized.Red_leftend_ge_row1	pss_mechanized.entry_diagSeq_append_lo	532158	493132
pss_mechanized.Red_leftend_ge_row1	pss_mechanized.entry_seg	532158	479150
pss_mechanized.Red_leftend_ge_row1	pss_mechanized.idxsum_P_component_nonempty	532158	487716
pss_mechanized.Red_leftend_ge_row1	pss_mechanized.idxsum_nth	532158	487242
pss_mechanized.Red_leftend_ge_row1	pss_mechanized.m_6_4_P_IdxSum	532158	487918
pss_mechanized.Red_leftend_ge_row1	pss_mechanized.m_6_5_Lng_Red	532158	495636
pss_mechanized.Red_leftend_ge_row1	pss_mechanized.m_6_5_Red_welldef	532158	495596
pss_mechanized.Red_leftend_ge_row1	pss_mechanized.m_6_6_Red_leftend_1	532158	497148
pss_mechanized.Red_rebase_core	pss_mechanized.BrJ_block_identity	705686	705232
pss_mechanized.Red_rebase_core	pss_mechanized.Br_component_nonempty	705686	494732
pss_mechanized.Red_rebase_core	pss_mechanized.Br_component_nonmulti	705686	494794
pss_mechanized.Red_rebase_core	pss_mechanized.Lng_seg	705686	478982
pss_mechanized.Red_rebase_core	pss_mechanized.NJ_eq_BrJ	705686	704670
pss_mechanized.Red_rebase_core	pss_mechanized.RedCondA_BrJ	705686	704792
pss_mechanized.Red_rebase_core	pss_mechanized.TrMax_bound	705686	489582
pss_mechanized.Red_rebase_core	pss_mechanized.idxsum_concat_P	705686	487196
pss_mechanized.Red_rebase_core	pss_mechanized.length_nth_le_concat	705686	492522
pss_mechanized.Red_rebase_core	pss_mechanized.m_6_5_Red_welldef	705686	495596
pss_mechanized.Red_rebase_core	pss_mechanized.monoT_condA_trunkwhole_eq_diagSeq	705686	704526
pss_mechanized.Red_rebase_core	pss_mechanized.seg_to_last_eq_drop	705686	480370
pss_mechanized.Red_rebase_core	pss_mechanized.trunk_take_eq_diagSeq	705686	705448
pss_mechanized.Red_singleton	pss_mechanized.m_6_5_Red_rebase	709824	709262
pss_mechanized.Red_singleton	pss_mechanized.m_6_5_Red_welldef	709824	495596
pss_mechanized.ST_PS_T_PS	pss_mechanized.poper_oper_nth0	497364	485304
pss_mechanized.ST_PS_seg_0_aux	pss_mechanized.ST_PS_seg_0_inner	497594	497530
pss_mechanized.ST_PS_seg_0_inner	pss_mechanized.ST_PS_T_PS	497530	497364
pss_mechanized.ST_PS_seg_0_inner	pss_mechanized.m_5_3_pred_is_oper1	497530	478242
pss_mechanized.ST_PS_seg_0_inner	pss_mechanized.seg_0_eq_take	497530	480300
pss_mechanized.ST_PS_subset_Union_SkT	pss_mechanized.ST_PS_in_some_SkT	497042	497006
pss_mechanized.ST_row0_step_le	pss_mechanized.ST_PS_in_some_SkT	671600	497006
pss_mechanized.ST_row0_step_le	pss_mechanized.SkT_row0_step_le	671600	671534
pss_mechanized.SkT_PS_mono	pss_mechanized.Lng_diagSeq	498044	492486
pss_mechanized.SkT_PS_mono	pss_mechanized.Pred_diagSeq_Suc	498044	497916
pss_mechanized.SkT_PS_mono	pss_mechanized.diagSeq_Suc_snoc	498044	497860
pss_mechanized.SkT_PS_mono	pss_mechanized.m_5_3_pred_is_oper1	498044	478242
pss_mechanized.SkT_P_comp	pss_mechanized.P_nonempty	498100	479566
pss_mechanized.SkT_P_comp	pss_mechanized.Pcut_le	498100	481020
pss_mechanized.SkT_P_comp	pss_mechanized.ST_PS_T_PS	498100	497364
pss_mechanized.SkT_P_comp	pss_mechanized.SkT_PS_mono	498100	498044
pss_mechanized.SkT_P_comp	pss_mechanized.SkT_PS_subset_ST_PS	498100	496836
pss_mechanized.SkT_P_comp	pss_mechanized.idxsum_P_component_nonempty	498100	487716
pss_mechanized.SkT_P_comp	pss_mechanized.idxsum_concat_P	498100	487196
pss_mechanized.SkT_P_comp	pss_mechanized.m_5_3_pred_is_oper1	498100	478242
pss_mechanized.SkT_P_comp	pss_mechanized.m_6_2_P_components_2	498100	479644
pss_mechanized.SkT_P_comp	pss_mechanized.m_6_2_P_oper_1	498100	486548
pss_mechanized.SkT_P_comp	pss_mechanized.m_6_2_P_oper_2	498100	487142
pss_mechanized.SkT_P_comp	pss_mechanized.m_6_2_nonmulti_oper_1	498100	489002
pss_mechanized.SkT_P_comp	pss_mechanized.m_6_2_nonmulti_oper_2	498100	489204
pss_mechanized.SkT_P_comp	pss_mechanized.multiT_imp_Lng_gt1	498100	479528
pss_mechanized.SkT_P_comp	pss_mechanized.not_multiT_diagSeq	498100	497976
pss_mechanized.SkT_P_comp	pss_mechanized.poper_P_nonmulti	498100	482394
pss_mechanized.SkT_P_comp	pss_mechanized.poper_last_P_multi	498100	482506
pss_mechanized.SkT_P_descending	pss_mechanized.P_nonempty	498574	479566
pss_mechanized.SkT_P_descending	pss_mechanized.ST_PS_T_PS	498574	497364
pss_mechanized.SkT_P_descending	pss_mechanized.SkT_PS_subset_ST_PS	498574	496836
pss_mechanized.SkT_P_descending	pss_mechanized.idxsum_P_component_nonempty	498574	487716
pss_mechanized.SkT_P_descending	pss_mechanized.m_6_2_P_components_1	498574	481216
pss_mechanized.SkT_P_descending	pss_mechanized.m_6_2_P_components_2	498574	479644
pss_mechanized.SkT_P_descending	pss_mechanized.m_6_2_P_oper_1	498574	486548
pss_mechanized.SkT_P_descending	pss_mechanized.m_6_2_P_oper_2	498574	487142
pss_mechanized.SkT_P_descending	pss_mechanized.m_6_2_nonmulti_oper_1	498574	489002
pss_mechanized.SkT_P_descending	pss_mechanized.m_6_2_nonmulti_oper_2	498574	489204
pss_mechanized.SkT_P_descending	pss_mechanized.m_6_7_standard_P_components	498574	498172
pss_mechanized.SkT_P_descending	pss_mechanized.nonmulti_oper_components_leftcol	498574	498360
pss_mechanized.SkT_P_descending	pss_mechanized.not_multiT_diagSeq	498574	497976
pss_mechanized.SkT_P_descending	pss_mechanized.poper_P_nonmulti	498574	482394
pss_mechanized.SkT_row0_step_le	pss_mechanized.Lng_diagSeq	671534	492486
pss_mechanized.SkT_row0_step_le	pss_mechanized.entry_diagSeq	671534	492512
pss_mechanized.SkT_row0_step_le	pss_mechanized.nextrel0_rtrancl_entry0_mono	671534	502984
pss_mechanized.SkT_row0_step_le	pss_mechanized.oper_gen_block_entry0	671534	504632
pss_mechanized.SkT_row0_step_le	pss_mechanized.oper_gen_nth_prefix	671534	504992
pss_mechanized.SkT_row0_step_le	pss_mechanized.poper_nextR_imp_le0	671534	483834
pss_mechanized.SkT_row0_step_le	pss_mechanized.poper_oper_expand	671534	484954
pss_mechanized.TrMax_IncrFirst	pss_mechanized.nextrel1_IncrFirst_eq	492960	478644
pss_mechanized.TrMax_Pred	pss_mechanized.Pred_preserves_T_PS	535372	476820
pss_mechanized.TrMax_Pred	pss_mechanized.TrMax_bound	535372	489582
pss_mechanized.TrMax_Pred	pss_mechanized.TrMax_eq_of_prefix_agree	535372	505956
pss_mechanized.TrMax_Pred	pss_mechanized.TrMax_stop	535372	506174
pss_mechanized.TrMax_Pred	pss_mechanized.nextrel1_prefix_imp	535372	505852
pss_mechanized.TrMax_coreReduce	pss_mechanized.Lng_diagSeq	706260	492486
pss_mechanized.TrMax_coreReduce	pss_mechanized.Lng_funpow_IncrFirst	706260	493008
pss_mechanized.TrMax_coreReduce	pss_mechanized.TrMax_bound	706260	489582
pss_mechanized.TrMax_coreReduce	pss_mechanized.TrMax_eqI_endpoint	706260	705956
pss_mechanized.TrMax_coreReduce	pss_mechanized.TrMax_stop_uncond	706260	706036
pss_mechanized.TrMax_coreReduce	pss_mechanized.TrMax_trunk_step	706260	490364
pss_mechanized.TrMax_coreReduce	pss_mechanized.adm_nextrel1_seg	706260	481698
pss_mechanized.TrMax_coreReduce	pss_mechanized.entry_funpow_IncrFirst0	706260	493348
pss_mechanized.TrMax_coreReduce	pss_mechanized.entry_funpow_IncrFirst1	706260	493368
pss_mechanized.TrMax_coreReduce	pss_mechanized.nextrel0_rtrancl_mono	706260	476900
pss_mechanized.TrMax_coreReduce	pss_mechanized.nextrel1_funpow_IncrFirst_eq	706260	705766
pss_mechanized.TrMax_coreReduce	pss_mechanized.seg_to_last_eq_drop	706260	480370
pss_mechanized.TrMax_diagSeq	pss_mechanized.Lng_diagSeq	492598	492486
pss_mechanized.TrMax_diagSeq	pss_mechanized.nextR1_diagSeq	492598	492554
pss_mechanized.TrMax_diagSeq_append_ge	pss_mechanized.le_TrMax_intro	493322	493308
